#{"t_start": 1674047696.877183, "env_id": null}
r,l,t
1.901,11,0.201901
1.946,6,0.230184
1.919,9,0.271662
1.937,7,0.304313
1.937,7,0.336973
1.955,5,0.360701
1.901,11,0.411442
1.892,12,0.467243
1.883,13,0.52977
1.919,9,0.571872
1.856,16,0.646668
1.883,13,0.708516
1.964,4,0.728203
1.937,7,0.761394
1.946,6,0.789851
1.964,4,0.809038
1.91,10,0.855297
1.955,5,0.87928
1.928,8,0.9162
1.964,4,0.935373
1.928,8,0.972436
1.946,6,1.000586
1.946,6,1.028994
1.865,15,1.09709
1.937,7,1.129721
1.919,9,1.171264
1.919,9,1.21268
1.946,6,1.240931
1.946,6,1.269148
1.937,7,1.301761
1.91,10,1.347893
1.865,15,1.416179
1.919,9,1.457973
1.91,10,1.503941
1.892,12,1.558934
1.892,12,1.61405
1.946,6,1.642271
1.919,9,1.683982
1.91,10,1.730829
1.946,6,1.759308
1.946,6,1.787916
1.901,11,1.838909
1.937,7,1.873139
1.928,8,1.911041
-0.9,100,2.362089
1.928,8,2.399309
1.955,5,2.423338
1.955,5,2.447176
1.946,6,2.475307
1.964,4,2.49451
1.91,10,2.540538
1.955,5,2.564329
1.946,6,2.592768
1.919,9,2.634295
1.874,14,2.698159
1.901,11,2.748744
1.874,14,2.81266
1.919,9,2.854447
1.901,11,2.905096
1.883,13,2.965029
1.919,9,3.00803
1.937,7,3.041778
1.928,8,3.079477
1.946,6,3.108043
1.964,4,3.128381
-0.9,100,3.57935
1.901,11,3.629709
1.946,6,3.657923
1.955,5,3.681746
1.928,8,3.718823
1.928,8,3.756115
-0.9,100,4.203363
1.901,11,4.254611
1.829,19,4.3416
1.901,11,4.393502
1.919,9,4.436168
1.856,16,4.511414
1.856,16,4.585065
-0.9,100,5.038528
1.883,13,5.098311
1.901,11,5.148804
1.874,14,5.212666
1.874,14,5.276573
1.919,9,5.31809
1.892,12,5.373072
1.874,14,5.43686
-0.9,100,5.888735
1.892,12,5.943624
1.892,12,5.998428
1.928,8,6.035847
1.892,12,6.090994
1.892,12,6.146046
1.919,9,6.187634
1.901,11,6.238121
1.874,14,6.302218
1.91,10,6.348528
1.928,8,6.385735
1.946,6,6.414089
1.928,8,6.451195
1.919,9,6.49288
1.937,7,6.525555
1.937,7,6.558216
1.964,4,6.577446
1.937,7,6.60994
1.919,9,6.651492
1.946,6,6.679743
1.937,7,6.712482
1.919,9,6.754895
1.91,10,6.801715
-0.9,100,7.255354
1.955,5,7.279243
-0.9,100,7.72584
1.928,8,7.763041
1.955,5,7.786814
1.928,8,7.824025
1.937,7,7.85672
1.919,9,7.898329
1.937,7,7.931021
1.955,5,7.954828
1.928,8,7.992369
1.883,13,8.05402
1.892,12,8.110291
1.892,12,8.166953
1.892,12,8.22384
1.883,13,8.285237
1.874,14,8.349955
1.919,9,8.391731
1.91,10,8.43792
1.937,7,8.470658
1.91,10,8.516732
-0.9,100,8.961741
1.91,10,9.00781
1.919,9,9.049416
1.955,5,9.07544
1.955,5,9.099329
1.928,8,9.13648
1.937,7,9.169176
1.937,7,9.201881
1.919,9,9.243524
1.919,9,9.286186
1.91,10,9.332755
1.901,11,9.383858
1.874,14,9.450153
1.865,15,9.521182
1.865,15,9.59064
1.847,17,9.667709
1.856,16,9.740444
1.919,9,9.782164
1.883,13,9.841621
1.874,14,9.905409
1.847,17,9.982689
1.883,13,10.042149
1.919,9,10.08384
1.865,15,10.152244
1.91,10,10.198295
1.865,15,10.266906
1.937,7,10.299596
1.919,9,10.341278
1.946,6,10.369513
1.964,4,10.388738
1.946,6,10.417037
1.964,4,10.436229
-0.9,100,10.886792
1.928,8,10.924024
1.946,6,10.952355
1.946,6,10.980544
1.91,10,11.026692
1.946,6,11.054949
-0.9,100,11.499691
1.883,13,11.559095
1.901,11,11.609776
1.91,10,11.655891
1.883,13,11.715417
1.892,12,11.77109
-0.9,100,12.222629
1.865,15,12.290994
1.928,8,12.328195
1.883,13,12.387433
1.901,11,12.438365
1.892,12,12.49323
1.892,12,12.548248
1.892,12,12.603256
1.919,9,12.644938
1.892,12,12.699802
1.883,13,12.759352
-0.9,100,13.210407
1.901,11,13.263493
1.928,8,13.301492
1.919,9,13.343708
1.874,14,13.410422
1.91,10,13.456545
1.919,9,13.498083
1.955,5,13.521868
1.955,5,13.545677
1.919,9,13.587227
1.928,8,13.62448
1.883,13,13.683707
1.937,7,13.716464
1.901,11,13.767115
1.928,8,13.804242
1.928,8,13.841585
1.919,9,13.883161
1.919,9,13.924889
1.946,6,13.953192
1.946,6,13.981398
1.91,10,14.027495
1.946,6,14.055758
1.955,5,14.079559
1.91,10,14.125645
1.919,9,14.167122
1.901,11,14.21793
1.901,11,14.268929
1.892,12,14.324437
-0.9,100,14.775465
1.856,16,14.848446
1.874,14,14.912234
1.874,14,14.976113
1.865,15,15.044359
1.883,13,15.103911
1.892,12,15.158927
1.874,14,15.222659
1.874,14,15.286827
-0.9,100,15.73667
1.946,6,15.76669
1.964,4,15.786525
-0.9,100,16.233557
1.964,4,16.253014
1.955,5,16.276706
1.919,9,16.318344
1.874,14,16.382224
1.874,14,16.446521
1.856,16,16.51916
1.856,16,16.592049
1.874,14,16.655956
1.919,9,16.697919
1.919,9,16.739484
1.919,9,16.781724
1.937,7,16.814863
1.955,5,16.83901
1.946,6,16.867501
1.91,10,16.914049
1.856,16,16.988945
-0.9,100,17.437425
1.883,13,17.496708
1.892,12,17.55154
1.919,9,17.593131
-0.9,100,18.040619
1.883,13,18.101068
1.883,13,18.161006
1.883,13,18.222242
-0.9,100,18.670776
1.919,9,18.712533
1.937,7,18.745159
1.928,8,18.782387
-0.9,100,19.228455
1.928,8,19.265596
1.919,9,19.307925
1.946,6,19.336327
1.856,16,19.409878
1.928,8,19.448377
1.874,14,19.513983
1.874,14,19.580491
1.919,9,19.622723
1.91,10,19.668963
1.892,12,19.724002
1.847,17,19.801031
1.901,11,19.851409
1.928,8,19.88862
1.91,10,19.934607
1.892,12,19.989697
-0.9,100,20.436277
1.91,10,20.482502
1.892,12,20.537546
1.883,13,20.598482
1.874,14,20.663368
1.928,8,20.701643
1.901,11,20.753592
1.91,10,20.80199
1.874,14,20.867082
1.901,11,20.91807
1.892,12,20.973138
1.883,13,21.032712
1.946,6,21.061012
1.937,7,21.093655
1.937,7,21.126332
1.919,9,21.167883
-0.9,100,21.614783
1.937,7,21.64752
1.892,12,21.702593
1.919,9,21.744185
1.865,15,21.813334
1.883,13,21.87335
1.91,10,21.920157
1.865,15,21.992563
1.874,14,22.058833
1.901,11,22.110676
1.937,7,22.143957
1.883,13,22.203364
1.91,10,22.24951
1.928,8,22.286701
1.901,11,22.337332
1.901,11,22.387886
1.919,9,22.430704
1.883,13,22.490314
1.901,11,22.540783
1.901,11,22.591321
1.91,10,22.637388
1.892,12,22.692488
1.865,15,22.760742
1.883,13,22.820271
1.874,14,22.884369
1.928,8,22.921494
1.919,9,22.963023
1.928,8,23.000183
1.946,6,23.029131
1.937,7,23.063032
1.946,6,23.092
1.937,7,23.125
1.919,9,23.167106
-0.9,100,23.621012
1.919,9,23.662819
1.928,8,23.699968
1.91,10,23.746091
1.937,7,23.77872
1.937,7,23.811458
1.964,4,23.830675
1.955,5,23.854505
1.946,6,23.882734
1.91,10,23.928923
1.946,6,23.957182
-0.9,100,24.405515
-0.9,100,24.857042
-0.9,100,25.303462
-0.9,100,25.754195
-0.9,100,26.204982
1.946,6,26.234311
1.91,10,26.280533
1.928,8,26.317806
1.91,10,26.363934
1.91,10,26.410034
1.874,14,26.473962
1.865,15,26.542376
1.919,9,26.584168
1.838,18,26.665888
1.901,11,26.716535
1.883,13,26.775956
1.901,11,26.826669
-0.9,100,27.278524
1.892,12,27.333647
1.883,13,27.392849
1.874,14,27.456972
1.874,14,27.520841
1.865,15,27.589122
1.883,13,27.648695
1.937,7,27.681398
-0.9,100,28.12868
1.901,11,28.179931
1.883,13,28.240572
1.874,14,28.306857
1.928,8,28.34611
1.928,8,28.38365
1.937,7,28.416827
1.919,9,28.458508
1.919,9,28.499921
1.946,6,28.527961
1.928,8,28.564878
1.883,13,28.624158
1.901,11,28.674383
1.847,17,28.751185
1.919,9,28.792514
1.91,10,28.838507
1.874,14,28.902142
1.928,8,28.939082
1.928,8,28.976168
1.919,9,29.017553
1.937,7,29.050015
1.946,6,29.078078
1.955,5,29.101793
1.928,8,29.138704
1.955,5,29.162545
-0.9,100,29.61316
1.928,8,29.650808
1.919,9,29.692994
1.919,9,29.734475
1.919,9,29.775789
1.946,6,29.803834
1.919,9,29.845267
1.946,6,29.873336
1.937,7,29.905777
1.955,5,29.929235
1.883,13,29.988348
1.937,7,30.020788
1.874,14,30.084307
1.901,11,30.134665
1.919,9,30.175967
1.892,12,30.230762
1.946,6,30.258959
1.928,8,30.295747
1.91,10,30.34156
1.937,7,30.374038
1.964,4,30.392986
1.964,4,30.412087
1.928,8,30.448966
1.91,10,30.494905
1.937,7,30.527369
1.937,7,30.564417
1.946,6,30.592662
1.955,5,30.617034
1.955,5,30.640997
1.955,5,30.664619
1.928,8,30.702321
1.928,8,30.740235
1.946,6,30.769565
1.928,8,30.807466
-0.9,100,31.255742
1.892,12,31.310529
1.91,10,31.356224
1.892,12,31.411142
1.883,13,31.470382
1.883,13,31.529529
1.919,9,31.570917
1.937,7,31.603401
1.919,9,31.644805
1.937,7,31.677275
1.946,6,31.705274
1.919,9,31.746651
1.937,7,31.779118
1.937,7,31.811582
1.91,10,31.857314
1.946,6,31.886226
1.937,7,31.919383
1.937,7,31.952177
1.874,14,32.017238
1.892,12,32.0732
1.91,10,32.121029
1.892,12,32.176836
1.874,14,32.241055
1.883,13,32.300164
1.901,11,32.350496
1.901,11,32.400684
1.91,10,32.446684
1.883,13,32.505786
1.919,9,32.547225
1.883,13,32.606396
1.865,15,32.674393
1.901,11,32.724667
1.901,11,32.774942
1.928,8,32.811793
1.874,14,32.875438
1.928,8,32.912302
1.874,14,32.975849
1.883,13,33.035648
1.91,10,33.081699
1.919,9,33.123851
1.919,9,33.165549
1.901,11,33.216319
1.928,8,33.253473
1.919,9,33.296626
1.928,8,33.334199
1.955,5,33.359062
1.964,4,33.378787
1.919,9,33.420901
1.928,8,33.458487
1.937,7,33.491235
1.919,9,33.532643
1.937,7,33.56511
1.937,7,33.597741
1.919,9,33.639136
-0.9,100,34.083483
1.928,8,34.120346
1.919,9,34.161674
1.928,8,34.19853
1.946,6,34.226598
1.937,7,34.259063
1.937,7,34.291551
1.928,8,34.328411
1.955,5,34.351939
1.946,6,34.380594
1.946,6,34.40902
1.937,7,34.44174
1.892,12,34.496984
1.928,8,34.535022
1.892,12,34.590808
1.883,13,34.652569
1.856,16,34.72613
1.892,12,34.780988
1.874,14,34.845758
1.874,14,34.909312
1.91,10,34.955076
1.91,10,35.00097
1.91,10,35.046992
1.883,13,35.106196
1.91,10,35.152151
1.928,8,35.189019
1.883,13,35.248314
1.937,7,35.280785
1.928,8,35.31763
1.937,7,35.350125
1.91,10,35.395902
1.928,8,35.432822
1.892,12,35.487557
1.937,7,35.519976
1.892,12,35.574722
1.919,9,35.616026
1.919,9,35.658305
1.892,12,35.71381
1.91,10,35.760398
1.865,15,35.830743
1.874,14,35.897422
1.883,13,35.957343
1.856,16,36.030049
1.874,14,36.093511
1.883,13,36.15276
1.892,12,36.207436
1.901,11,36.257798
1.892,12,36.312556
1.901,11,36.362691
1.937,7,36.395197
1.901,11,36.445545
1.928,8,36.482609
1.919,9,36.524004
1.937,7,36.556412
1.928,8,36.593474
1.919,9,36.634915
1.955,5,36.658305
1.946,6,36.686325
1.937,7,36.71906
1.91,10,36.764988
1.901,11,36.815362
1.892,12,36.869992
1.883,13,36.930457
1.901,11,36.981362
1.883,13,37.042557
1.892,12,37.098258
-0.9,100,37.543911
1.892,12,37.598881
1.919,9,37.640132
1.865,15,37.708187
1.919,9,37.749682
1.892,12,37.804402
1.892,12,37.859186
1.865,15,37.927143
1.901,11,37.977331
1.901,11,38.027951
-0.9,100,38.481723
1.874,14,38.545427
1.883,13,38.604536
1.928,8,38.64137
1.901,11,38.691638
1.928,8,38.728498
1.892,12,38.783304
1.883,13,38.842384
1.91,10,38.888125
1.928,8,38.925047
1.928,8,38.961929
-0.9,100,39.410272
1.928,8,39.447504
1.955,5,39.471273
1.91,10,39.517667
1.955,5,39.54234
1.946,6,39.571004
-0.9,100,40.020062
1.937,7,40.052683
1.928,8,40.090029
1.946,6,40.118331
1.928,8,40.155294
1.919,9,40.196676
1.955,5,40.220297
1.928,8,40.257335
1.91,10,40.303121
1.892,12,40.357919
1.928,8,40.394808
1.928,8,40.431617
1.892,12,40.486356
1.901,11,40.536653
1.901,11,40.586964
1.901,11,40.637427
1.892,12,40.69342
1.883,13,40.75359
1.874,14,40.818955
1.874,14,40.884905
1.874,14,40.95018
1.928,8,40.987672
1.928,8,41.024603
1.946,6,41.052632
1.856,16,41.124882
1.928,8,41.161759
1.946,6,41.189817
1.865,15,41.257966
1.883,13,41.317003
1.892,12,41.371535
1.901,11,41.421844
1.883,13,41.48093
1.892,12,41.535535
1.955,5,41.559109
1.928,8,41.596118
1.928,8,41.63306
1.919,9,41.674579
1.928,8,41.711623
1.928,8,41.748599
1.856,16,41.820913
1.919,9,41.86226
1.919,9,41.904447
1.874,14,41.969135
1.901,11,42.019879
1.91,10,42.067174
1.901,11,42.118455
1.865,15,42.189278
1.928,8,42.226848
1.91,10,42.273012
1.919,9,42.314387
-0.9,100,42.755504
1.946,6,42.783375
1.919,9,42.824622
1.955,5,42.848243
1.919,9,42.889618
1.937,7,42.922072
1.946,6,42.950134
1.901,11,43.000471
1.883,13,43.060329
1.91,10,43.106101
1.874,14,43.170264
1.892,12,43.226367
1.892,12,43.282386
1.91,10,43.330045
1.91,10,43.376859
1.928,8,43.418599
1.901,11,43.469985
1.919,9,43.512087
1.919,9,43.553516
1.901,11,43.603721
1.901,11,43.653993
1.91,10,43.699885
1.919,9,43.741136
1.919,9,43.782464
1.91,10,43.828168
1.901,11,43.87842
1.883,13,43.937529
1.883,13,43.996785
1.892,12,44.051479
1.874,14,44.11516
1.892,12,44.170037
1.955,5,44.193645
1.937,7,44.226075
1.928,8,44.263088
1.946,6,44.291086
-0.9,100,44.743954
1.901,11,44.794782
1.901,11,44.845067
1.883,13,44.904153
1.91,10,44.949874
1.919,9,44.991236
1.874,14,45.05468
1.874,14,45.118103
1.865,15,45.185969
1.874,14,45.24958
1.892,12,45.304236
1.91,10,45.350026
1.892,12,45.404704
1.874,14,45.468272
1.874,14,45.531876
1.901,11,45.582126
1.901,11,45.632332
1.892,12,45.687572
1.883,13,45.747724
1.919,9,45.789561
1.91,10,45.837028
-0.9,100,46.28658
1.928,8,46.323719
1.901,11,46.373936
-0.9,100,46.81901
1.928,8,46.855862
1.928,8,46.892644
1.91,10,46.938849
1.955,5,46.962945
1.946,6,46.991699
1.946,6,47.020299
1.946,6,47.048667
1.937,7,47.08212
1.91,10,47.129122
1.91,10,47.177608
1.928,8,47.215855
1.919,9,47.258159
1.919,9,47.300192
1.946,6,47.328257
1.964,4,47.347238
1.946,6,47.375191
1.946,6,47.403291
1.928,8,47.440378
1.928,8,47.477398
1.946,6,47.505415
-0.9,100,47.952402
1.964,4,47.971462
1.946,6,47.999576
1.919,9,48.041572
1.937,7,48.074196
1.811,21,48.168871
1.91,10,48.215868
1.901,11,48.267115
1.91,10,48.314006
1.874,14,48.379463
1.928,8,48.418122
1.892,12,48.474771
1.892,12,48.530391
1.892,12,48.585654
1.874,14,48.649184
1.901,11,48.699515
1.892,12,48.754133
1.883,13,48.813052
1.865,15,48.880805
1.883,13,48.939971
1.892,12,48.994723
1.919,9,49.036207
1.91,10,49.08204
1.901,11,49.13228
1.901,11,49.182546
1.901,11,49.232911
1.892,12,49.287742
1.883,13,49.34702
1.919,9,49.38838
