#{"t_start": 1674047912.177481, "env_id": null}
r,l,t
1.865,15,0.220407
1.946,6,0.249091
1.919,9,0.291701
1.631,41,0.480756
-0.9,100,0.930998
1.955,5,0.954927
1.802,22,1.055059
1.856,16,1.128216
-0.9,100,1.582024
1.856,16,1.657091
1.865,15,1.726418
1.694,34,1.880223
-0.9,100,2.327144
1.937,7,2.360173
1.802,22,2.460369
1.964,4,2.479551
1.856,16,2.552293
1.919,9,2.594058
1.856,16,2.668291
-0.9,100,3.120817
-0.9,100,3.568792
1.946,6,3.596985
1.946,6,3.625332
1.847,17,3.702889
1.919,9,3.744586
-0.9,100,4.202094
1.919,9,4.244483
1.946,6,4.272936
1.946,6,4.301135
1.937,7,4.333961
1.658,38,4.505953
-0.9,100,4.956191
-0.9,100,5.408544
-0.9,100,5.855938
-0.9,100,6.304775
1.523,53,6.544992
1.883,13,6.606345
1.694,34,6.764015
-0.9,100,7.214796
1.946,6,7.242997
1.946,6,7.271354
1.514,54,7.514419
1.793,23,7.619546
-0.9,100,8.07026
-0.9,100,8.519967
1.91,10,8.566147
-0.9,100,9.017759
1.757,27,9.14307
1.892,12,9.200838
1.964,4,9.220495
1.919,9,9.262745
1.955,5,9.286739
1.838,18,9.368492
1.919,9,9.410114
-0.9,100,9.855635
1.775,25,9.968896
-0.9,100,10.423243
1.919,9,10.466416
1.865,15,10.535941
1.811,21,10.631165
1.919,9,10.672701
-0.9,100,11.119977
1.946,6,11.148124
1.946,6,11.176377
1.964,4,11.195576
-0.9,100,11.644642
1.82,20,11.738655
1.946,6,11.767453
-0.9,100,12.216122
1.595,45,12.418522
1.748,28,12.54502
1.757,27,12.667007
1.649,39,12.845959
1.829,19,12.936634
1.784,24,13.047142
1.748,28,13.173427
1.865,15,13.242452
1.73,30,13.377961
-0.9,100,13.825232
1.856,16,13.898101
-0.9,100,14.354131
-0.9,100,14.801276
-0.9,100,15.252358
1.676,36,15.418331
-0.9,100,15.870222
-0.9,100,16.3203
1.703,33,16.470031
1.901,11,16.521499
1.604,44,16.725251
-0.9,100,17.18006
1.802,22,17.280103
1.82,20,17.371045
1.919,9,17.412763
1.865,15,17.481181
1.874,14,17.545176
1.91,10,17.591381
1.919,9,17.633069
-0.9,100,18.088994
1.91,10,18.135415
1.532,52,18.368871
1.838,18,18.450272
1.847,17,18.527464
1.901,11,18.578133
1.892,12,18.632973
-0.9,100,19.083152
-0.9,100,19.535578
1.757,27,19.657726
-0.9,100,20.106873
1.793,23,20.211004
1.658,38,20.385004
1.955,5,20.409828
1.721,31,20.553643
-0.9,100,21.001172
1.919,9,21.042884
1.892,12,21.097892
1.937,7,21.130667
-0.9,100,21.582272
1.937,7,21.615448
1.955,5,21.639553
1.874,14,21.705409
-0.9,100,22.15738
1.856,16,22.230537
1.676,36,22.392811
1.658,38,22.563946
1.739,29,22.695152
1.874,14,22.759723
1.577,47,22.97847
-0.9,100,23.426076
1.703,33,23.574924
1.901,11,23.625566
1.865,15,23.693876
1.676,36,23.856198
-0.9,100,24.311795
-0.9,100,24.757619
1.955,5,24.781451
-0.9,100,25.2267
1.586,46,25.437527
-0.9,100,25.893954
1.919,9,25.935906
1.901,11,25.986496
1.82,20,26.077133
1.865,15,26.145297
-0.9,100,26.59575
1.667,37,26.767823
1.667,37,26.936626
1.883,13,26.996035
-0.9,100,27.444364
1.883,13,27.504092
1.721,31,27.644168
1.694,34,27.798983
-0.9,100,28.254038
1.883,13,28.313612
1.577,47,28.525161
-0.9,100,28.972373
-0.9,100,29.428667
-0.9,100,29.882758
1.658,38,30.056323
1.919,9,30.098034
-0.9,100,30.555125
-0.9,100,31.004252
1.604,44,31.202026
1.847,17,31.279466
1.955,5,31.303159
1.802,22,31.403064
1.928,8,31.440251
1.865,15,31.508862
-0.9,100,31.968079
1.946,6,31.996562
-0.9,100,32.442484
-0.9,100,32.894153
1.64,40,33.080167
1.712,32,33.225908
-0.9,100,33.674934
1.892,12,33.729888
1.64,40,33.910251
-0.9,100,34.368711
1.928,8,34.406497
1.451,61,34.680282
1.865,15,34.748501
1.802,22,34.848286
-0.9,100,35.2973
1.757,27,35.421118
1.46,60,35.696447
1.667,37,35.864102
-0.9,100,36.310957
-0.9,100,36.765333
-0.9,100,37.218764
1.928,8,37.255989
1.82,20,37.347579
1.577,47,37.559127
1.739,29,37.689775
1.919,9,37.731517
1.955,5,37.755405
1.883,13,37.815443
-0.9,100,38.273057
-0.9,100,38.722009
1.901,11,38.772405
1.712,32,38.917485
-0.9,100,39.37252
1.766,26,39.490189
-0.9,100,39.93636
1.865,15,40.004455
-0.9,100,40.450294
1.946,6,40.47994
1.91,10,40.52709
1.928,8,40.566394
1.937,7,40.599989
1.937,7,40.633224
1.874,14,40.697673
-0.9,100,41.144241
-0.9,100,41.593403
1.901,11,41.644832
-0.9,100,42.102459
1.838,18,42.184144
1.766,26,42.301724
1.874,14,42.365721
1.892,12,42.420587
1.685,35,42.578431
-0.9,100,43.033797
-0.9,100,43.487008
1.532,52,43.72106
1.802,22,43.820787
1.919,9,43.862535
1.946,6,43.890889
-0.9,100,44.344667
1.901,11,44.396368
1.964,4,44.415982
-0.9,100,44.863087
1.829,19,44.949801
-0.9,100,45.400416
-0.9,100,45.856778
-0.9,100,46.307393
-0.9,100,46.760233
-0.9,100,47.213986
-0.9,100,47.663163
-0.9,100,48.118908
-0.9,100,48.56942
1.721,31,48.709256
1.955,5,48.733059
1.811,21,48.828836
1.892,12,48.883902
1.55,50,49.109071
-0.9,100,49.567331
-0.9,100,50.012892
-0.9,100,50.463842
1.829,19,50.552658
1.874,14,50.619436
1.856,16,50.693377
1.739,29,50.824445
1.739,29,50.955467
1.622,42,51.144354
1.919,9,51.186412
1.937,7,51.219264
-0.9,100,51.669727
1.937,7,51.702871
1.586,46,51.915493
-0.9,100,52.363569
1.847,17,52.440953
-0.9,100,52.889257
1.856,16,52.964496
-0.9,100,53.418337
1.424,64,53.705953
1.757,27,53.828169
1.784,24,53.937127
1.568,48,54.154223
-0.9,100,54.607336
1.883,13,54.666851
1.892,12,54.721936
1.802,22,54.821697
-0.9,100,55.270076
-0.9,100,55.729006
1.919,9,55.770652
1.586,46,55.977904
-0.9,100,56.425439
1.856,16,56.498041
1.586,46,56.70621
1.901,11,56.757697
1.91,10,56.805102
1.514,54,57.052378
1.838,18,57.133986
1.892,12,57.188921
-0.9,100,57.638021
1.928,8,57.675289
1.802,22,57.774639
-0.9,100,58.23385
1.919,9,58.275552
1.865,15,58.344037
-0.9,100,58.792879
-0.9,100,59.240473
1.919,9,59.28292
1.64,40,59.468947
-0.9,100,59.913213
1.874,14,59.980707
-0.9,100,60.430759
1.46,60,60.706803
1.847,17,60.784832
1.937,7,60.817519
1.892,12,60.872474
1.874,14,60.936287
1.874,14,61.000169
-0.9,100,61.447141
-0.9,100,61.899507
1.847,17,61.978941
1.604,44,62.177865
-0.9,100,62.624507
1.82,20,62.715118
-0.9,100,63.173104
1.55,50,63.400483
-0.9,100,63.848202
-0.9,100,64.301494
1.901,11,64.354169
-0.9,100,64.806867
1.514,54,65.049798
1.775,25,65.163798
1.928,8,65.200832
-0.9,100,65.654401
1.955,5,65.679753
-0.9,100,66.128817
-0.9,100,66.578854
-0.9,100,67.036891
-0.9,100,67.486392
-0.9,100,67.935432
-0.9,100,68.394659
-0.9,100,68.844452
1.829,19,68.930753
1.928,8,68.967724
-0.9,100,69.422953
-0.9,100,69.873409
1.532,52,70.106907
-0.9,100,70.555108
1.937,7,70.588129
1.928,8,70.626988
1.856,16,70.70316
1.865,15,70.772696
1.811,21,70.868108
1.946,6,70.896354
1.658,38,71.067552
-0.9,100,71.516709
-0.9,100,71.973587
1.658,38,72.147131
-0.9,100,72.596056
1.604,44,72.793923
1.829,19,72.884096
-0.9,100,73.34026
1.64,40,73.520474
1.883,13,73.579947
1.424,64,73.867515
1.883,13,73.926849
1.901,11,73.977332
1.865,15,74.045439
1.64,40,74.226221
-0.9,100,74.682098
1.586,46,74.889247
1.874,14,74.953426
1.622,42,75.142883
-0.9,100,75.593572
1.901,11,75.645961
-0.9,100,76.098765
1.874,14,76.162734
1.721,31,76.30279
1.784,24,76.411475
1.757,27,76.533234
1.928,8,76.570196
1.811,21,76.665009
1.658,38,76.838584
1.694,34,76.996983
1.694,34,77.153545
1.901,11,77.203749
1.856,16,77.276248
1.919,9,77.3177
1.91,10,77.363654
1.784,24,77.47183
1.874,14,77.535529
1.802,22,77.634662
1.919,9,77.676087
1.928,8,77.712932
1.946,6,77.740943
1.955,5,77.764497
1.919,9,77.806055
1.856,16,77.878865
-0.9,100,78.331374
1.928,8,78.36854
1.901,11,78.418709
1.793,23,78.522755
1.883,13,78.581841
1.928,8,78.618661
1.91,10,78.664529
1.937,7,78.69693
1.937,7,78.729324
1.955,5,78.752729
1.883,13,78.81185
1.649,39,78.987211
-0.9,100,79.438933
1.631,41,79.626807
1.712,32,79.770786
-0.9,100,80.211151
1.946,6,80.23918
1.928,8,80.276068
1.739,29,80.406915
1.946,6,80.4349
1.964,4,80.453924
1.964,4,80.472925
-0.9,100,80.929843
1.64,40,81.109282
1.865,15,81.177356
1.883,13,81.236406
1.946,6,81.264372
1.955,5,81.288075
1.955,5,81.311686
1.955,5,81.335187
1.928,8,81.372214
1.928,8,81.409177
1.856,16,81.484089
1.838,18,81.565538
1.838,18,81.646857
1.748,28,81.77361
1.694,34,81.930263
-0.9,100,82.379491
1.757,27,82.501013
1.793,23,82.605028
1.739,29,82.735537
1.775,25,82.848603
1.784,24,82.957834
1.937,7,82.990384
1.937,7,83.023071
-0.9,100,83.479191
1.919,9,83.520723
1.946,6,83.548787
1.838,18,83.630024
1.946,6,83.658028
1.712,32,83.801586
1.937,7,83.83399
1.847,17,83.910888
1.856,16,83.983481
1.829,19,84.06953
-0.9,100,84.520393
1.694,34,84.675059
1.784,24,84.783377
1.901,11,84.833772
1.847,17,84.911038
1.748,28,85.03678
1.757,27,85.158597
1.595,45,85.360446
1.694,34,85.513194
-0.9,100,85.972865
1.613,43,86.16634
1.595,45,86.368721
1.919,9,86.410165
1.703,33,86.559006
1.919,9,86.600514
1.676,36,86.762237
1.856,16,86.835739
1.874,14,86.900355
1.919,9,86.942333
1.865,15,87.01333
1.901,11,87.06619
-0.9,100,87.516511
1.919,9,87.557967
1.631,41,87.742159
1.955,5,87.765758
1.964,4,87.784775
1.64,40,87.967021
-0.9,100,88.422361
1.811,21,88.517504
-0.9,100,88.966411
1.937,7,88.998664
1.919,9,89.040051
1.748,28,89.165967
1.595,45,89.369709
1.685,35,89.530099
-0.9,100,89.977743
1.748,28,90.105934
1.928,8,90.142994
1.901,11,90.193167
1.937,7,90.225816
1.802,22,90.324941
1.883,13,90.384578
1.784,24,90.493344
1.892,12,90.548061
1.883,13,90.60834
1.658,38,90.782475
1.928,8,90.821321
-0.9,100,91.273603
-0.9,100,91.721146
-0.9,100,92.179081
-0.9,100,92.629242
-0.9,100,93.079379
1.676,36,93.244142
1.766,26,93.3655
-0.9,100,93.809642
1.838,18,93.891423
-0.9,100,94.341258
1.73,30,94.478983
-0.9,100,94.933881
1.901,11,94.984003
1.937,7,95.016434
1.928,8,95.053256
1.937,7,95.085677
1.91,10,95.131618
1.82,20,95.222084
1.676,36,95.384253
1.937,7,95.416641
1.676,36,95.578294
1.91,10,95.625139
1.847,17,95.703192
1.586,46,95.915792
1.802,22,96.015698
1.865,15,96.08361
-0.9,100,96.532422
1.721,31,96.671896
1.766,26,96.788814
1.856,16,96.861525
1.811,21,96.958021
1.694,34,97.116379
1.901,11,97.167739
1.802,22,97.267878
1.649,39,97.44315
1.703,33,97.591012
1.865,15,97.659189
1.712,32,97.802859
1.667,37,97.97018
1.685,35,98.128117
1.892,12,98.183878
1.64,40,98.36882
1.955,5,98.393059
1.946,6,98.421636
1.937,7,98.454684
1.676,36,98.618747
-0.9,100,99.065488
-0.9,100,99.516951
-0.9,100,99.965197
1.577,47,100.17603
1.703,33,100.324455
-0.9,100,100.772526
1.91,10,100.820422
-0.9,100,101.26598
1.919,9,101.307408
-0.9,100,101.755636
1.919,9,101.796913
-0.9,100,102.253612
-0.9,100,102.702228
-0.9,100,103.153954
1.685,35,103.314993
1.901,11,103.366448
-0.9,100,103.818391
1.604,44,104.016281
1.901,11,104.066541
1.928,8,104.103474
1.721,31,104.243229
1.784,24,104.351713
1.541,51,104.584639
1.613,43,104.782429
-0.9,100,105.230147
-0.9,100,105.678773
-0.9,100,106.133983
-0.9,100,106.5823
-0.9,100,107.033969
1.955,5,107.058022
1.73,30,107.201564
1.955,5,107.225895
1.838,18,107.308254
1.748,28,107.434577
-0.9,100,107.88022
1.928,8,107.917689
1.937,7,107.950964
1.874,14,108.014786
1.865,15,108.082736
1.955,5,108.106234
1.694,34,108.262387
1.586,46,108.474717
-0.9,100,108.923813
1.829,19,109.00982
-0.9,100,109.456154
-0.9,100,109.908501
-0.9,100,110.35138
-0.9,100,110.802631
1.676,36,110.970095
1.649,39,111.147034
1.883,13,111.206324
1.568,48,111.421947
-0.9,100,111.872995
1.856,16,111.946398
-0.9,100,112.40254
-0.9,100,112.848624
1.937,7,112.881191
-0.9,100,113.330293
-0.9,100,113.782847
1.946,6,113.810953
-0.9,100,114.259866
-0.9,100,114.71203
-0.9,100,115.16157
-0.9,100,115.610373
1.685,35,115.769406
1.82,20,115.862971
1.955,5,115.886998
1.775,25,116.003514
1.667,37,116.17066
-0.9,100,116.619458
-0.9,100,117.06832
1.856,16,117.14368
1.856,16,117.218841
1.919,9,117.261034
1.919,9,117.302923
1.874,14,117.366656
1.901,11,117.416933
1.892,12,117.471644
1.649,39,117.647367
-0.9,100,118.097632
1.892,12,118.152527
1.91,10,118.199027
1.919,9,118.241387
1.793,23,118.346743
1.946,6,118.375654
1.748,28,118.505597
1.901,11,118.556673
-0.9,100,119.004179
1.721,31,119.144222
1.793,23,119.247998
1.748,28,119.374236
1.649,39,119.551841
1.82,20,119.644793
1.73,30,119.783524
1.892,12,119.838643
-0.9,100,120.290907
1.91,10,120.336969
1.91,10,120.382656
-0.9,100,120.832541
1.874,14,120.898441
1.901,11,120.950679
1.892,12,121.0067
1.901,11,121.057922
-0.9,100,121.50104
1.82,20,121.591841
1.847,17,121.669209
1.865,15,121.737454
-0.9,100,122.188956
1.892,12,122.245349
-0.9,100,122.695124
1.883,13,122.754446
1.892,12,122.809272
1.685,35,122.968248
1.847,17,123.045294
1.955,5,123.069023
1.937,7,123.101464
1.883,13,123.160718
1.874,14,123.225084
1.91,10,123.271587
-0.9,100,123.727523
1.802,22,123.826702
1.631,41,124.011606
1.919,9,124.052824
1.919,9,124.094294
1.865,15,124.162534
1.874,14,124.226079
1.37,70,124.544283
1.676,36,124.711179
1.757,27,124.834911
1.856,16,124.907891
1.739,29,125.038331
-0.9,100,125.48455
1.712,32,125.628623
1.685,35,125.787149
1.901,11,125.838335
1.766,26,125.959754
1.559,49,126.182396
1.82,20,126.273303
1.739,29,126.404751
1.757,27,126.526383
1.694,34,126.679664
1.721,31,126.819424
-0.9,100,127.277067
1.793,23,127.382314
1.901,11,127.432603
1.901,11,127.48265
1.955,5,127.506252
1.946,6,127.534305
1.847,17,127.611642
1.928,8,127.648603
-0.9,100,128.094888
1.622,42,128.285436
-0.9,100,128.740877
1.856,16,128.813645
1.865,15,128.881868
1.838,18,128.963068
1.838,18,129.044824
1.811,21,129.139907
-0.9,100,129.5899
-0.9,100,130.041991
-0.9,100,130.49016
1.847,17,130.567201
1.91,10,130.613057
1.631,41,130.798866
1.856,16,130.872588
1.838,18,130.956382
1.838,18,131.041065
-0.9,100,131.487632
1.766,26,131.604824
1.829,19,131.691492
1.739,29,131.821958
-0.9,100,132.276645
-0.9,100,132.727577
1.802,22,132.827215
1.712,32,132.97461
1.676,36,133.137842
1.604,44,133.337255
-0.9,100,133.792385
1.901,11,133.842828
1.838,18,133.924568
1.847,17,134.001554
1.856,16,134.07388
1.703,33,134.222174
1.892,12,134.276828
1.919,9,134.318113
1.919,9,134.35955
-0.9,100,134.816365
-0.9,100,135.265619
-0.9,100,135.713143
-0.9,100,136.167122
1.712,32,136.311206
1.649,39,136.486243
