#{"t_start": 1674047802.714523, "env_id": null}
r,l,t
1.865,15,0.2202
-0.9,100,0.670708
1.901,11,0.721036
1.559,49,0.940942
1.91,10,0.987059
1.955,5,1.01096
1.595,45,1.214189
-0.9,100,1.668082
1.883,13,1.728961
1.613,43,1.923767
-0.9,100,2.373726
1.838,18,2.610504
1.964,4,2.629828
1.937,7,2.662617
1.946,6,2.691501
1.721,31,2.832723
1.91,10,2.880153
1.82,20,2.974158
1.937,7,3.007373
1.964,4,3.026947
1.748,28,3.154166
1.937,7,3.186798
1.946,6,3.215078
1.856,16,3.287866
1.496,56,3.539444
1.586,46,3.746506
-0.9,100,4.198639
-0.9,100,4.649177
1.64,40,4.829414
1.937,7,4.862087
1.757,27,4.984125
1.793,23,5.088525
1.919,9,5.130349
1.901,11,5.180993
1.595,45,5.387462
1.496,56,5.643455
1.937,7,5.676279
1.469,59,5.941141
-0.9,100,6.390583
-0.9,100,6.845412
1.937,7,6.87832
1.919,9,6.919925
1.937,7,6.952609
1.928,8,6.989848
1.946,6,7.018177
1.928,8,7.055264
1.955,5,7.079178
1.955,5,7.103004
1.937,7,7.135779
1.964,4,7.154975
1.91,10,7.201014
1.748,28,7.329023
1.946,6,7.35727
1.919,9,7.398879
1.874,14,7.463142
1.811,21,7.55862
1.874,14,7.622709
1.919,9,7.664616
1.901,11,7.715674
1.883,13,7.775921
1.91,10,7.822333
1.937,7,7.855175
-0.9,100,8.307754
1.946,6,8.336202
1.964,4,8.35534
1.919,9,8.397014
-0.9,100,8.84279
1.946,6,8.870992
1.955,5,8.894762
-0.9,100,9.349838
1.928,8,9.387462
-0.9,100,9.835495
1.856,16,9.908219
1.478,58,10.169075
1.46,60,10.443835
1.64,40,10.63055
1.82,20,10.721341
1.496,56,10.972939
1.919,9,11.014559
1.559,49,11.235368
1.91,10,11.281441
1.874,14,11.345495
-0.9,100,11.797657
1.838,18,11.880559
1.892,12,11.935489
1.874,14,11.999501
1.883,13,12.059021
1.892,12,12.114015
1.892,12,12.168948
1.559,49,12.390057
1.883,13,12.44965
1.892,12,12.504696
1.919,9,12.546356
1.901,11,12.597002
1.874,14,12.661091
1.721,31,12.801725
1.928,8,12.839411
-0.9,100,13.290319
-0.9,100,13.737083
1.622,42,13.926103
1.937,7,13.95885
1.937,7,13.991701
1.964,4,14.011367
1.55,50,14.241342
1.757,27,14.365797
1.937,7,14.398483
1.703,33,14.547192
-0.9,100,14.992849
-0.9,100,15.44287
-0.9,100,15.895477
1.955,5,15.919275
1.451,61,16.193006
1.928,8,16.230292
1.955,5,16.254146
1.946,6,16.282401
1.937,7,16.315106
1.847,17,16.392346
1.937,7,16.424997
1.955,5,16.448911
1.442,62,16.731598
1.883,13,16.793575
1.892,12,16.849604
1.892,12,16.904964
-0.9,100,17.350975
1.541,51,17.582355
1.874,14,17.646343
1.919,9,17.687965
1.901,11,17.738751
1.82,20,17.830488
1.892,12,17.885861
1.865,15,17.956158
1.442,62,18.239958
1.919,9,18.281513
1.955,5,18.305347
1.955,5,18.329177
1.928,8,18.366393
1.919,9,18.408021
1.937,7,18.440785
1.919,9,18.482604
1.937,7,18.515296
1.559,49,18.735654
1.487,57,18.99626
1.766,26,19.1162
1.865,15,19.188491
1.811,21,19.28746
1.847,17,19.36598
-0.9,100,19.815723
1.919,9,19.857404
1.631,41,20.042167
1.676,36,20.204562
1.847,17,20.281916
-0.9,100,20.73854
1.901,11,20.789061
1.397,67,21.089764
1.91,10,21.135938
1.865,15,21.204707
1.793,23,21.309004
1.919,9,21.350713
1.946,6,21.379026
1.946,6,21.407438
1.946,6,21.435687
1.964,4,21.454998
-0.9,100,21.905236
-0.9,100,22.351981
-0.9,100,22.798687
1.838,18,22.881802
1.91,10,22.928255
1.757,27,23.054417
-0.9,100,23.502991
1.874,14,23.567064
1.685,35,23.724291
-0.9,100,24.173848
1.685,35,24.336607
1.892,12,24.392776
1.91,10,24.439493
1.676,36,24.601606
-0.9,100,25.048987
1.712,32,25.193039
1.766,26,25.310569
1.469,59,25.582416
-0.9,100,26.030316
1.505,55,26.277119
1.919,9,26.318945
1.901,11,26.369515
1.64,40,26.550059
1.874,14,26.615246
1.892,12,26.670999
1.883,13,26.730981
1.865,15,26.801339
-0.9,100,27.250447
1.901,11,27.302427
1.568,48,27.51892
1.883,13,27.578438
1.955,5,27.602245
1.505,55,27.854437
1.919,9,27.89688
-0.9,100,28.34933
-0.9,100,28.799743
1.937,7,28.832495
1.928,8,28.869648
1.838,18,28.951655
-0.9,100,29.405358
1.919,9,29.448196
-0.9,100,29.897147
-0.9,100,30.344562
1.928,8,30.382829
1.946,6,30.411309
1.91,10,30.458387
1.622,42,30.6537
1.901,11,30.705267
-0.9,100,31.151867
1.892,12,31.206882
1.883,13,31.266728
-0.9,100,31.715741
1.613,43,31.913272
1.874,14,31.978038
1.901,11,32.028608
-0.9,100,32.477247
1.883,13,32.536935
1.892,12,32.592141
-0.9,100,33.043407
1.874,14,33.1093
1.919,9,33.152075
1.946,6,33.18083
1.658,38,33.352955
1.946,6,33.3813
1.964,4,33.400691
1.847,17,33.477991
-0.9,100,33.925382
-0.9,100,34.380039
1.874,14,34.445445
-0.9,100,34.892376
1.667,37,35.059154
1.847,17,35.136408
1.919,9,35.178118
1.91,10,35.224047
-0.9,100,35.679396
1.937,7,35.712769
-0.9,100,36.159975
1.946,6,36.188283
1.91,10,36.234316
1.856,16,36.306792
-0.9,100,36.757619
1.604,44,36.962062
1.496,56,37.213969
1.613,43,37.409232
-0.9,100,37.854279
1.892,12,37.90999
1.631,41,38.099407
1.883,13,38.161239
-0.9,100,38.608238
1.919,9,38.649928
1.937,7,38.682601
-0.9,100,39.129988
-0.9,100,39.585143
1.685,35,39.742614
1.901,11,39.793149
1.946,6,39.821392
1.865,15,39.889808
1.775,25,40.002837
1.874,14,40.066546
1.874,14,40.130393
1.919,9,40.172218
1.892,12,40.22729
1.775,25,40.340339
-0.9,100,40.795863
1.595,45,40.998039
1.928,8,41.035191
1.568,48,41.251526
1.586,46,41.458902
1.757,27,41.580745
1.919,9,41.622473
1.892,12,41.678043
1.901,11,41.729305
1.874,14,41.79393
-0.9,100,42.244977
1.622,42,42.434459
1.91,10,42.48055
1.712,32,42.625344
1.901,11,42.676018
-0.9,100,43.123796
-0.9,100,43.5763
-0.9,100,44.02048
1.937,7,44.053117
1.649,39,44.229936
1.919,9,44.272044
-0.9,100,44.72481
1.937,7,44.757678
1.766,26,44.87548
1.919,9,44.919512
1.775,25,45.032447
1.559,49,45.252549
1.874,14,45.316419
-0.9,100,45.775297
1.676,36,45.937597
-0.9,100,46.385152
1.874,14,46.449099
1.883,13,46.50859
1.901,11,46.55905
1.919,9,46.601147
1.415,65,46.896338
1.892,12,46.953254
1.919,9,46.995587
-0.9,100,47.444367
-0.9,100,47.889927
1.604,44,48.09164
1.919,9,48.134539
1.892,12,48.191957
1.883,13,48.252744
1.811,21,48.34818
1.901,11,48.399002
1.928,8,48.436313
1.928,8,48.473434
1.937,7,48.50621
1.829,19,48.592632
1.937,7,48.625364
1.946,6,48.653728
1.775,25,48.767097
1.595,45,48.969269
-0.9,100,49.423241
1.901,11,49.475093
1.91,10,49.521913
1.91,10,49.567994
1.928,8,49.605406
-0.9,100,50.052705
1.964,4,50.071919
1.955,5,50.095763
1.631,41,50.280468
1.91,10,50.32666
1.946,6,50.354973
-0.9,100,50.811071
1.865,15,50.879521
-0.9,100,51.326139
1.928,8,51.363288
1.919,9,51.40473
1.946,6,51.433013
1.64,40,51.613708
1.919,9,51.655341
1.91,10,51.702051
-0.9,100,52.160776
-0.9,100,52.60903
1.793,23,52.713096
1.919,9,52.754774
-0.9,100,53.206692
1.739,29,53.339568
1.757,27,53.461593
1.847,17,53.541212
1.883,13,53.600943
1.883,13,53.660419
1.883,13,53.719892
1.874,14,53.783956
1.856,16,53.856841
1.811,21,53.951729
1.883,13,54.011216
1.676,36,54.173458
1.829,19,54.260722
1.901,11,54.311805
1.514,54,54.558082
-0.9,100,55.004939
1.613,43,55.198144
1.676,36,55.359949
1.928,8,55.396824
1.892,12,55.451566
1.919,9,55.493912
1.919,9,55.536085
1.631,41,55.725085
1.883,13,55.785611
1.847,17,55.863101
1.811,21,55.957606
1.919,9,55.999016
1.901,11,56.049281
1.847,17,56.126182
1.694,34,56.279701
1.586,46,56.486778
1.802,22,56.586011
1.937,7,56.618602
1.802,22,56.718704
1.847,17,56.796579
1.802,22,56.897429
1.955,5,56.921597
1.946,6,56.950475
1.928,8,56.989019
1.919,9,57.031258
1.721,31,57.171919
1.919,9,57.213178
1.748,28,57.340429
1.91,10,57.38693
1.829,19,57.473455
1.46,60,57.742241
1.955,5,57.765857
1.883,13,57.827301
1.874,14,57.891063
-0.9,100,58.345618
1.829,19,58.432069
1.919,9,58.473325
1.892,12,58.528226
1.676,36,58.690607
1.919,9,58.732071
1.73,30,58.867208
1.919,9,58.908543
1.964,4,58.927483
1.955,5,58.950856
1.874,14,59.01452
-0.9,100,59.465286
1.865,15,59.535263
1.847,17,59.612713
1.946,6,59.640693
1.955,5,59.664412
1.928,8,59.7012
1.946,6,59.729272
1.928,8,59.766138
1.757,27,59.887715
1.946,6,59.915725
1.712,32,60.059981
1.892,12,60.11486
1.784,24,60.223288
1.91,10,60.269187
1.838,18,60.350416
1.883,13,60.409603
1.865,15,60.477976
1.784,24,60.588018
1.658,38,60.763699
1.865,15,60.832955
1.937,7,60.865475
1.955,5,60.888887
1.883,13,60.948278
1.919,9,60.989688
1.946,6,61.017788
-0.9,100,61.469162
1.874,14,61.532874
-0.9,100,61.984294
1.937,7,62.017859
1.46,60,62.29144
1.892,12,62.34716
-0.9,100,62.793392
1.892,12,62.848181
-0.9,100,63.30134
1.478,58,63.56215
1.901,11,63.612579
1.901,11,63.662969
1.901,11,63.713215
-0.9,100,64.16124
1.847,17,64.238525
1.721,31,64.380182
-0.9,100,64.834659
1.613,43,65.031118
1.685,35,65.188409
-0.9,100,65.636794
1.874,14,65.701871
1.703,33,65.85478
-0.9,100,66.303685
1.874,14,66.367257
1.649,39,66.545139
1.919,9,66.587423
1.604,44,66.786392
1.784,24,66.895768
1.928,8,66.93404
1.73,30,67.072718
1.928,8,67.110435
1.784,24,67.218684
1.955,5,67.242302
1.757,27,67.36501
1.928,8,67.40199
1.937,7,67.434625
1.721,31,67.574257
-0.9,100,68.021695
1.937,7,68.054883
1.739,29,68.187226
1.55,50,68.416072
1.928,8,68.453157
-0.9,100,68.897738
1.91,10,68.943349
1.937,7,68.975729
1.937,7,69.00822
1.937,7,69.04067
1.928,8,69.077451
1.955,5,69.101111
1.946,6,69.129092
1.892,12,69.183635
1.631,41,69.370808
1.856,16,69.445172
1.928,8,69.482839
1.82,20,69.576494
1.883,13,69.636532
-0.9,100,70.083918
1.55,50,70.308515
-0.9,100,70.763603
-0.9,100,71.21205
1.433,63,71.493955
1.865,15,71.562202
1.451,61,71.837398
-0.9,100,72.291291
1.775,25,72.405233
-0.9,100,72.853288
1.937,7,72.88572
1.901,11,72.935886
1.928,8,72.972731
1.739,29,73.104445
1.901,11,73.15535
1.928,8,73.192568
1.883,13,73.253772
1.928,8,73.291743
1.838,18,73.375687
1.838,18,73.457859
1.919,9,73.499306
1.892,12,73.554067
1.658,38,73.72484
1.865,15,73.792724
-0.9,100,74.239479
1.397,67,74.544205
1.712,32,74.692716
-0.9,100,75.142537
1.838,18,75.223836
1.748,28,75.350104
1.901,11,75.40047
1.784,24,75.508724
1.865,15,75.577036
1.937,7,75.610059
1.901,11,75.660796
1.928,8,75.698051
1.919,9,75.740851
1.937,7,75.774165
1.928,8,75.812721
1.73,30,75.949868
1.955,5,75.973494
1.946,6,76.001456
1.937,7,76.033911
1.73,30,76.168984
1.901,11,76.21925
-0.9,100,76.663681
1.883,13,76.72271
1.901,11,76.772956
-0.9,100,77.229513
-0.9,100,77.679804
1.829,19,77.765635
1.649,39,77.940645
1.91,10,77.986463
-0.9,100,78.440921
1.802,22,78.540488
1.892,12,78.59513
1.748,28,78.721488
-0.9,100,79.174535
1.901,11,79.224769
1.901,11,79.276075
-0.9,100,79.732844
1.766,26,79.850552
-0.9,100,80.297519
1.919,9,80.339107
1.883,13,80.398334
1.91,10,80.444137
1.856,16,80.516607
1.874,14,80.580246
-0.9,100,81.037097
1.73,30,81.17239
1.919,9,81.21383
-0.9,100,81.662531
1.928,8,81.69943
1.955,5,81.723032
1.802,22,81.822869
1.955,5,81.846672
1.946,6,81.875277
1.946,6,81.903569
1.937,7,81.936313
-0.9,100,82.389242
1.919,9,82.430582
1.496,56,82.68178
1.937,7,82.714163
1.955,5,82.737766
1.739,29,82.86882
1.532,52,83.102125
1.829,19,83.189178
1.919,9,83.231392
1.766,26,83.351166
1.892,12,83.40873
1.892,12,83.464584
-0.9,100,83.913893
1.775,25,84.027027
1.874,14,84.090738
1.532,52,84.324131
1.766,26,84.442203
1.568,48,84.663114
1.874,14,84.727919
1.676,36,84.890235
1.928,8,84.927077
1.766,26,85.044338
1.784,24,85.152514
1.712,32,85.296623
1.703,33,85.445251
-0.9,100,85.895875
-0.9,100,86.342132
-0.9,100,86.789182
1.892,12,86.843952
1.892,12,86.899107
1.568,48,87.118057
1.955,5,87.143208
1.928,8,87.181291
1.802,22,87.281523
1.901,11,87.33222
1.856,16,87.405012
1.928,8,87.442134
-0.9,100,87.892116
1.901,11,87.942499
1.919,9,87.983859
-0.9,100,88.438992
1.352,72,88.763151
1.838,18,88.844639
1.748,28,88.970876
1.865,15,89.038804
1.577,47,89.24979
1.874,14,89.313432
1.847,17,89.390781
1.775,25,89.505067
-0.9,100,89.959055
1.919,9,90.000496
1.955,5,90.02389
1.883,13,90.082847
1.838,18,90.164465
1.946,6,90.19253
1.685,35,90.349842
1.874,14,90.413614
1.91,10,90.459594
-0.9,100,90.909106
1.874,14,90.974334
-0.9,100,91.423253
-0.9,100,91.867164
1.91,10,91.912946
1.784,24,92.022682
1.55,50,92.255258
1.919,9,92.297396
1.919,9,92.339344
1.901,11,92.389615
-0.9,100,92.838227
1.91,10,92.884237
1.91,10,92.930235
1.55,50,93.154962
1.91,10,93.201523
1.586,46,93.412752
1.883,13,93.474003
1.883,13,93.534218
-0.9,100,93.977949
1.784,24,94.086413
1.55,50,94.31092
1.739,29,94.442419
1.721,31,94.583509
1.586,46,94.79576
1.64,40,94.975945
-0.9,100,95.420737
1.523,53,95.658274
1.874,14,95.723005
1.874,14,95.787419
1.874,14,95.852462
1.838,18,95.937237
-0.9,100,96.386805
1.757,27,96.510901
1.685,35,96.668321
1.874,14,96.731991
-0.9,100,97.182029
1.892,12,97.239079
-0.9,100,97.690935
1.874,14,97.754662
-0.9,100,98.202187
1.559,49,98.426934
1.901,11,98.480113
1.883,13,98.540364
1.883,13,98.600033
1.919,9,98.641441
1.919,9,98.682787
1.667,37,98.849267
1.928,8,98.88613
1.559,49,99.10584
-0.9,100,99.552555
1.856,16,99.626649
1.784,24,99.738428
1.568,48,99.954955
1.946,6,99.983067
1.937,7,100.015451
1.946,6,100.043446
1.757,27,100.164813
1.937,7,100.19734
1.73,30,100.332524
1.91,10,100.378286
1.928,8,100.415298
1.595,45,100.617313
-0.9,100,101.074631
1.946,6,101.320703
1.964,4,101.339858
1.946,6,101.367836
1.946,6,101.396084
-0.9,100,101.843575
1.928,8,101.880466
1.946,6,101.908649
1.91,10,101.95438
1.964,4,101.973333
1.946,6,102.002319
1.586,46,102.212522
1.937,7,102.247358
1.784,24,102.357803
1.847,17,102.435137
1.703,33,102.584052
1.91,10,102.629781
-0.9,100,103.075582
1.928,8,103.112453
1.856,16,103.184589
1.64,40,103.365977
1.766,26,103.48729
1.748,28,103.616123
1.829,19,103.702385
1.712,32,103.846497
1.892,12,103.901292
-0.9,100,104.345104
1.757,27,104.466842
-0.9,100,104.920236
1.91,10,104.966231
1.91,10,105.012178
1.892,12,105.069168
1.874,14,105.132619
1.901,11,105.182903
1.721,31,105.322759
-0.9,100,105.772793
1.919,9,105.81496
